mSec,N-M,Degrees,Degrees,Deg/Sec
6730,30.5,195,60,0
6740,30.4,195,60,0
6750,30.4,195,60,0
6760,30.2,195,60,0
6770,30.4,195,60,0
6780,30.4,195,60,0
6790,30.4,195,60,0
6800,30.4,195,60,0
6810,30.4,195,60,0
6820,30.4,195,60,0
6830,30.2,195,60,0
6840,30.4,195,60,0
6850,30.4,195,60,0
6860,30.5,195,60,0
6870,30.5,195,60,0
6880,30.5,195,60,0
6890,30.6,195,60,0
6900,30.6,195,60,0
6910,30.6,195,60,0
6920,30.5,195,60,0
6930,30.4,195,60,0
6940,30.5,195,60,0
6950,30.5,195,60,0
6960,30.6,195,60,0
6970,30.6,195,60,0
6980,30.6,195,60,0
6990,30.8,195,60,0
7000,30.9,195,60,0
7010,30.9,195,60,0
7020,30.9,195,60,0
7030,30.9,195,60,0
7040,30.9,195,60,0
7050,31.1,195,60,0
7060,31.2,195,60,0
7070,31.3,195,60,0
7080,31.5,195,60,0
7090,31.5,195,60,0
7100,31.5,195,60,0
7110,31.6,195,60,0
7120,31.6,195,60,0
7130,31.7,195,60,0
7140,31.9,195,60,0
7150,31.9,195,60,0
7160,31.9,195,60,0
7170,31.9,195,60,0
7180,31.9,195,60,0
7190,31.9,195,60,0
7200,31.9,195,60,0
7210,31.9,195,60,0
7220,31.9,195,60,0
7230,32,195,60,0
7240,32.1,195,60,0
7250,32.3,195,60,0
7260,32.3,195,60,0
7270,32.3,195,60,0
7280,32.3,195,60,0
7290,32.3,195,60,0
7300,32.4,195,60,0
7310,32.4,195,60,0
7320,32.3,195,60,0
7330,32.3,195,60,0
7340,32.1,195,60,0
7350,32.1,195,60,0
7360,32.3,195,60,0
7370,32.3,195,60,0
7380,32.3,195,60,0
7390,32.3,195,60,0
7400,32.3,195,60,0
7410,32.1,195,60,0
7420,32,195,60,0
7430,32,195,60,0
7440,31.9,195,60,0
7450,31.9,195,60,0
7460,31.7,195,60,0
7470,31.7,195,60,0
7480,31.7,195,60,0
7490,31.9,195,60,0
7500,32,195,60,0
7510,32,195,60,0
7520,31.9,195,60,0
7530,31.9,195,60,0
7540,31.9,195,60,0
7550,32,195,60,0
7560,32,195,60,0
7570,32,195,60,0
7580,32.1,195,60,0
7590,32.1,195,60,0
7600,32.3,195,60,0
7610,32.3,195,60,0
7620,32.3,195,60,0
7630,32.1,195,60,0
7640,32.1,195,60,0
7650,32.1,195,60,0
7660,32.1,195,60,0
7670,32.1,195,60,0
7680,32.3,195,60,0
7690,32.3,195,60,0
7700,32.3,195,60,0
7710,32.3,195,60,0
7720,32.3,195,60,0
7730,32.1,195,60,0
7740,32.1,195,60,0
7750,32.3,195,60,0
7760,32.3,195,60,0
7770,32.3,195,60,0
7780,32.3,195,60,0
7790,32.4,195,60,0
